predictor,coefficient,std_err,z_statistic,p_value,odds_ratio
const,-0.5635413601192131,0.019333717553838718,-29.148111766395473,8.827285646017107e-187,0.5691897844584727
log_total_payment,0.034726058520185704,0.004819193707678848,7.205781843724937,5.771173796280101e-13,1.0353360484590104
log_meal,-0.052077288394183574,0.005090090408073863,-10.231112655991133,1.4385695047957984e-24,0.9492554975745522
log_speaker,0.02338326965098901,0.00366809736336142,6.3747679885903406,1.8324013750361007e-10,1.0236588017229902
log_n_over_1k,0.08937729546807792,0.016095077153201885,5.5530827604823,2.8067510583502763e-08,1.0934931485150292
log_n_payments,0.1366542227858195,0.004463953513509137,30.61282389529073,8.262780394165915e-206,1.1464316700286235
log_total_clms,0.04083267682567482,0.0016649652290030696,24.524642385549505,8.06593591099191e-133,1.0416777941275788
spec_Dermatology,0.03220653745162616,0.023360061556213674,1.3787008811652453,0.16798699772118564,1.0327307808633606
spec_Endocrinology,0.01589720091889089,0.02948073343886198,0.5392403466439862,0.5897210241517297,1.016024233679809
spec_Family Practice,0.16102624383156663,0.016293468406762504,9.88287084195859,4.939706821035801e-23,1.1747157974528661
spec_Gastroenterology,0.037318228449328285,0.022807565434316054,1.6362214790877951,0.10179324266319585,1.038023296827878
spec_General Practice,0.1901719778965456,0.028755302464472474,6.613457748584123,3.7544519400105826e-11,1.2094575797431033
spec_Hematology-Oncology,0.005536423458486438,0.0269079908823014,0.2057538774523665,0.8369831707165835,1.0055517777737613
spec_Infectious Disease,0.19939852608312955,0.031969162361094615,6.237214595456239,4.4543075801861954e-10,1.220668337148825
spec_Internal Medicine,0.17640366767910276,0.016351581830165964,10.78817141431951,3.915016796906239e-27,1.1929195045198095
spec_Interventional Cardiology,-0.09296308796074805,0.03380073265546525,-2.750327601130173,0.005953571030549823,0.9112271349271472
spec_Medical Oncology,0.02598668595707076,0.038975260330851275,0.6667482330195169,0.5049329640932796,1.0263272838169601
spec_Nephrology,0.09078814370211946,0.02618947326182952,3.4665891442131764,0.000527106915460585,1.0950369901996215
spec_Neurology,0.026577168107326608,0.02328807693007831,1.1412349841991543,0.25377214961505223,1.0269334907179382
spec_Nurse Practitioner,0.1735108314298544,0.015730959872992747,11.02989473183652,2.7418579501066486e-28,1.1894735703993757
spec_Ophthalmology,0.09713785947112138,0.021255075874883955,4.570101750890679,4.87487470801304e-06,1.1020122859804058
spec_Physician Assistant,0.19717603044812393,0.01647012837902489,11.971736097651336,4.997191295949318e-33,1.2179584196031472
spec_Psychiatry,0.18463818086049147,0.020902830662585244,8.833166370666833,1.017535066355767e-18,1.2027831714160715
spec_Pulmonary Disease,0.03648519733074648,0.026134092984617177,1.3960766632391675,0.16269141046373603,1.037158951183201
spec_Rheumatology,-0.02595708242291086,0.03210360980594997,-0.8085409266997776,0.41877925575083286,0.974376906607404
spec_Urology,0.03472005320195998,0.02520231999258052,1.3776530578209247,0.16831043108091392,1.035329830955238
